Time,Velocity,Projectile,Angle,Laminate,Residual Velcity
0,200,Round,0,PF,200
0.00007,200,Round,0,PF,141.0924377
0.000140022,200,Round,0,PF,64.62317657
0.000210003,200,Round,0,PF,39.36182022
0.000280003,200,Round,0,PF,0.632291555
0.000350019,200,Round,0,PF,-6.406849861
0.000420009,200,Round,0,PF,-6.470308781
0.000490026,200,Round,0,PF,-6.470310688
0.000560009,200,Round,0,PF,-6.270147324
0.000630013,200,Round,0,PF,-5.83494854
0.000700017,200,Round,0,PF,-5.407688141
0.000770014,200,Round,0,PF,-4.977508068
0.000840002,200,Round,0,PF,-4.650012493
0.000910018,200,Round,0,PF,-4.251478195
0.000980025,200,Round,0,PF,-3.810201406
0.00105001,200,Round,0,PF,-3.384068727
0.001120013,200,Round,0,PF,-3.067557573
0.001190022,200,Round,0,PF,-2.892483711
0.001260012,200,Round,0,PF,-2.560917854
0.001330008,200,Round,0,PF,-2.50118947
0.0014,200,Round,0,PF,-2.625275135
0,250,Round,0,PF,250
0.00007,250,Round,0,PF,167.5716553
0.000140016,250,Round,0,PF,70.48872375
0.000210006,250,Round,0,PF,45.15724182
0.000280011,250,Round,0,PF,7.417304039
0.000350015,250,Round,0,PF,4.639050484
0.000420011,250,Round,0,PF,4.647190571
0.000490006,250,Round,0,PF,4.827625275
0.000560023,250,Round,0,PF,5.299168587
0.000630001,250,Round,0,PF,5.655378342
0.000700012,250,Round,0,PF,6.002707005
0.000770006,250,Round,0,PF,6.211777687
0.000840018,250,Round,0,PF,6.506634235
0.000910017,250,Round,0,PF,6.805411816
0.000980015,250,Round,0,PF,7.043529034
0.001050011,250,Round,0,PF,7.289356232
0.001120003,250,Round,0,PF,7.226640701
0.001190023,250,Round,0,PF,3.853922844
0.001260019,250,Round,0,PF,1.474730849
0.00133001,250,Round,0,PF,-29.48688507
0.0014,250,Round,0,PF,-38.20526123
0,300,Round,0,PF,300
0.00004,300,Round,0,PF,238.5652771
0.00008,300,Round,0,PF,177.7162323
0.000120017,300,Round,0,PF,140.6677399
0.000160005,300,Round,0,PF,103.9380264
0.00020002,300,Round,0,PF,82.98534393
0.000240008,300,Round,0,PF,60.94815826
0.00028002,300,Round,0,PF,35.97923279
0.000320012,300,Round,0,PF,26.30898857
0.000360019,300,Round,0,PF,23.13139915
0.000400018,300,Round,0,PF,21.04656792
0.000440022,300,Round,0,PF,19.60201645
0.000480016,300,Round,0,PF,19.82308388
0.000520016,300,Round,0,PF,19.95989227
0.000560017,300,Round,0,PF,19.66884995
0.00060001,300,Round,0,PF,18.84717941
0.000640007,300,Round,0,PF,17.22078896
0.000680017,300,Round,0,PF,15.36107445
0.000720025,300,Round,0,PF,14.64054489
0.000760021,300,Round,0,PF,14.35211277
0.0008,300,Round,0,PF,12.69646358
0,350,Round,0,PF,350
0.00004,350,Round,0,PF,267.7359314
0.00008,350,Round,0,PF,209.2166443
0.000120018,350,Round,0,PF,182.0795593
0.000160013,350,Round,0,PF,147.5492859
0.000200007,350,Round,0,PF,129.8104858
0.000240015,350,Round,0,PF,114.5628662
0.000280021,350,Round,0,PF,99.93626404
0.000320019,350,Round,0,PF,91.58480072
0.000360005,350,Round,0,PF,92.53369904
0.00040002,350,Round,0,PF,92.94250488
0.000440022,350,Round,0,PF,92.98696136
0.000480008,350,Round,0,PF,92.40611267
0.000520011,350,Round,0,PF,90.97555542
0.000560018,350,Round,0,PF,88.85704041
0.000600015,350,Round,0,PF,86.25647736
0.000640022,350,Round,0,PF,82.10741425
0.000680002,350,Round,0,PF,74.60707855
0.000720021,350,Round,0,PF,72.15231323
0.000760008,350,Round,0,PF,70.3650589
0.0008,350,Round,0,PF,69.84559631
0,400,Round,0,PF,400
0.00004,400,Round,0,PF,297.2955017
0.00008,400,Round,0,PF,247.3742828
0.000120008,400,Round,0,PF,222.4917297
0.000160011,400,Round,0,PF,203.2354584
0.000200021,400,Round,0,PF,196.5806732
0.000240026,400,Round,0,PF,195.3733063
0.000280015,400,Round,0,PF,193.6771698
0.000320016,400,Round,0,PF,192.2776184
0.000360018,400,Round,0,PF,191.2205505
0.000400023,400,Round,0,PF,190.539566
0.000440024,400,Round,0,PF,190.3828583
0.000480001,400,Round,0,PF,190.3406677
0.000520012,400,Round,0,PF,189.7195892
0.000560001,400,Round,0,PF,185.3659821
0.000600003,400,Round,0,PF,183.0604248
0.000640025,400,Round,0,PF,183.0506287
0.000680023,400,Round,0,PF,183.0525513
0.000720019,400,Round,0,PF,183.0765533
0.000760018,400,Round,0,PF,183.0090179
0.0008,400,Round,0,PF,182.8812103
0,450,Round,0,PF,450
0.00004,450,Round,0,PF,327.2085266
0.00008,450,Round,0,PF,283.3401489
0.000120014,450,Round,0,PF,272.1795959
0.000160021,450,Round,0,PF,261.1486816
0.000200024,450,Round,0,PF,259.2420959
0.000240002,450,Round,0,PF,257.4353638
0.000280004,450,Round,0,PF,255.6119385
0.000320008,450,Round,0,PF,254.1652985
0.000360016,450,Round,0,PF,253.2502289
0.000400003,450,Round,0,PF,252.6880798
0.000440016,450,Round,0,PF,246.4596405
0.000480021,450,Round,0,PF,244.0644836
0.000520018,450,Round,0,PF,243.5800476
0.000560004,450,Round,0,PF,243.5619507
0.000600008,450,Round,0,PF,243.6924744
0.000640012,450,Round,0,PF,243.8527374
0.000680008,450,Round,0,PF,244.0518951
0.000720008,450,Round,0,PF,244.2892151
0.000760003,450,Round,0,PF,244.5596161
0.0008,450,Round,0,PF,244.8512726
0,500,Round,0,PF,500
0.00003,500,Round,0,PF,387.2766418
0.00006,500,Round,0,PF,332.8639526
0.00009,500,Round,0,PF,321.5169678
0.000120003,500,Round,0,PF,319.4954834
0.000150005,500,Round,0,PF,318.7550049
0.000180003,500,Round,0,PF,317.2974854
0.000210011,500,Round,0,PF,316.0152893
0.000240007,500,Round,0,PF,314.769104
0.000270002,500,Round,0,PF,313.6848145
0.000300006,500,Round,0,PF,312.9394531
0.000330003,500,Round,0,PF,309.8402405
0.00036001,500,Round,0,PF,305.7384949
0.000390008,500,Round,0,PF,304.7924805
0.000420003,500,Round,0,PF,304.2365723
0.000450004,500,Round,0,PF,303.8244629
0.000480001,500,Round,0,PF,303.5679321
0.000510003,500,Round,0,PF,303.6019592
0.000540001,500,Round,0,PF,303.7295837
0.000570008,500,Round,0,PF,303.8746643
0.0006,500,Round,0,PF,304.0211487
0,550,Round,0,PF,550
0.00003,550,Round,0,PF,417.4949951
0.00006,550,Round,0,PF,367.6112671
0.00009,550,Round,0,PF,363.0638733
0.000120008,550,Round,0,PF,362.6843262
0.000150005,550,Round,0,PF,362.3187866
0.000180006,550,Round,0,PF,361.4794617
